t,log_price_med,log_price_p25,log_price_p75,log_fund_med,mispricing_med,mispricing_p25,mispricing_p75,log_ret_std
0,1.6077387493545665,1.5949074649011288,1.6252894093765522,1.611463249756425,-0.003724500401858455,-0.01655578485529624,0.013826159620127343,
1,1.6158397161750846,1.5912301846433894,1.6327904452464757,1.6121043536671678,0.00521013910312218,-0.020465925461998213,0.019679757263528552,0.0626113809726205
2,1.6090611810647444,1.5800603335148453,1.647224297241417,1.6126195534841792,-0.0032624023255689583,-0.03145312395720379,0.03346763684776205,0.09860604502763927
3,1.6149151821486853,1.5786666206845967,1.6432882610072022,1.6140132415116266,-0.0002582804392478044,-0.03648833567705623,0.035981252919122575,0.13345542256049592
4,1.6093284105478833,1.5628764912622728,1.6842793627852612,1.6136144959053824,-0.008164919796771475,-0.04962247710597095,0.06627499915093998,0.1744312287118596
5,1.6177679440430752,1.5141096063221067,1.68487824746159,1.6143036133946012,0.0059151381663211655,-0.0943257684566659,0.06879859872921534,0.2222292184513364
6,1.6047425207500763,1.5230100506794908,1.7278592427113484,1.6148779978691237,-0.003645731902754412,-0.09431969264362627,0.11590008054098117,0.28097879252289415
7,1.621919249480043,1.4555729006976705,1.7266610835077287,1.615267974132117,0.006244538081567441,-0.15180121185294687,0.11123166547977442,0.35511421150630473
8,1.6227223390117596,1.4928284142860258,1.8197276384439887,1.6157267353091118,0.006606654111004695,-0.12518398134374253,0.2116164433300619,0.4414042822764351
9,1.6225759953935086,1.356745491451639,1.8060487913609906,1.6168920648419869,0.007885864882356874,-0.26072289459403747,0.1885164049973282,0.550155782948257
10,1.603899547066949,1.3676943425280383,1.941359073391045,1.6177695655829214,-0.011015260875164024,-0.25001169587509525,0.3332040099303643,0.6963725583126351
11,1.6293938597187592,1.200236358348003,1.9382405251903958,1.6190287397304841,0.012870531028770671,-0.40968676155489986,0.3174189985163133,0.8830767440304824
12,1.6159278116700684,1.2235676240617221,2.148345905830997,1.619215045222075,-0.0014425142656881995,-0.3949770557131568,0.5306048044097245,1.1135331277663298
13,1.6163527836726943,0.9416523172697697,2.093899686030708,1.6196324511538176,-0.0026951003144277674,-0.6782788608017924,0.47396104298623,1.3955908573954523
14,1.6306419636050085,1.0364014638510826,2.434546390479827,1.62074806207528,0.01043546825763586,-0.5859422417845428,0.8158911560821618,1.7459339754843721
15,1.6149480258521254,0.5979039013522247,2.367655488444094,1.6214744424193954,-0.005670004496286074,-1.0151009595632028,0.7429565430231817,2.1966187095832566
16,1.6421721489247727,0.6898140566904342,2.9069147547381475,1.6225885161754183,0.021027837277954098,-0.932566145345165,1.2950693456569868,2.778507823049325
17,1.621665693502805,-0.03292736842193423,2.775990393471271,1.6236133437013525,-0.00027110084391002154,-1.6463062995061586,1.152559654086088,3.5348783026394983
18,1.6339761798393488,0.1789502186079438,3.698046172443378,1.6232778215700439,0.012164660640384017,-1.4445413476339053,2.0852133605983374,4.553290340879316
19,1.626686667900465,-1.023877298551366,3.4511926054407325,1.6236444640512775,0.004017362061909169,-2.638283720311468,1.828509964161747,5.967338470970785
20,1.6029877724243873,-0.6995967516444376,4.999207907103789,1.6231266579601824,-0.019078059337949593,-2.322840018439284,3.377474438823623,8.046623892691317
21,1.6606984462321863,-2.752496442109904,4.586733762910224,1.623937653501308,0.03689340636542371,-4.37517825469634,2.9635619961238646,11.285213891121002
22,1.5797223109787337,-2.1689717065603586,7.444685738623548,1.624548583941459,-0.04373376969269993,-3.79191155025848,5.820701658138253,16.569105652826735
23,1.672256391293296,-6.349263435279789,6.616355611674414,1.6252072625829976,0.046819839416388565,-7.970801867682042,4.994231616029107,22.293351997364724
24,1.5582055299650206,-5.117302749771502,13.08413912294089,1.6254971518175234,-0.06712632068055335,-6.7397931884496085,11.461854388985241,26.83067150366986
25,1.36635901606721,-15.639596850438611,9.847549201887034,1.6261725984942437,-0.25119486453207673,-17.262825875001635,8.224779414055407,31.160520266115107
26,1.7452799868917794,-10.228254972059213,22.168083378556005,1.626170776470176,0.12255231836213232,-11.849478203150346,20.53911047022155,36.16975702867351
27,1.7005099332654603,-23.025850929940457,12.020767056479663,1.6264903323506408,0.0737242656627457,-24.64348601322711,10.406305583072209,38.9585829437896
28,1.2498393721369374,-13.806661358299001,15.808240982619349,1.6260438682176064,-0.3735345806981313,-15.423072591089962,14.18236612597667,37.506109349937624
29,1.7144704867070921,-20.289758289544196,15.629578678167485,1.6275081690400672,0.08386539340451182,-21.915386769623986,14.006615331514373,36.937334760302925
30,1.5293849002187492,-19.981028524278123,18.771127596972832,1.6286696665716542,-0.10174444545404648,-21.604878029105933,17.126093937619924,39.56777171800594
31,2.37891133876649,-22.787257731843976,22.66167812674057,1.6296278242777515,0.7497793907819438,-24.412187823084984,21.033255412985515,42.38643446426689
32,0.6858151110788248,-23.025850929940457,12.537208502174055,1.6307293185727434,-0.9455669213433837,-24.653076755139825,10.907778103258218,41.64786543045924
33,2.605612121751645,-14.642849546394814,17.68297246043502,1.6311348694671945,0.9785933481695964,-16.271905310041166,16.040556797510643,38.708202384171514
34,1.3665212125898625,-23.025850929940457,12.189672278942842,1.6330439711664022,-0.2716124613698454,-24.644786552513416,10.555874512316034,37.3222395363386
35,2.94400341785479,-14.014223622644838,15.410094344757958,1.6316223207099534,1.3064298813159088,-15.648723231831259,13.775655766044732,39.04021978961542
36,1.7032882436292602,-19.56542383038465,15.83167583516903,1.6334223736274263,0.07326390491137724,-21.200767303281886,14.191358304714818,40.34717182127596
37,1.8376618398235003,-20.308125066557185,11.198494102970404,1.6349785311343463,0.2083744789990274,-21.95139556023964,9.561343117305332,39.209070298657345
38,2.4519408135829788,-12.302592423298595,18.446959480239922,1.6354285672189621,0.815835151752954,-13.940351723681376,16.795479390754597,39.49657446520417
39,1.165641572405291,-23.025850929940457,10.756312581988787,1.6367104364571095,-0.4671327073976562,-24.64998653643586,9.128656053082587,36.15285972543068
40,1.3113213948164768,-11.505226272627471,16.51749606186235,1.6375006372858079,-0.31780743716600246,-13.135053203653875,14.877884362362154,34.78917708549012
41,3.2277079233416828,-21.45534994206359,19.484083183243,1.637023884726463,1.5946263758769077,-23.09507997093111,17.829312116346195,38.371208343373894
42,-0.6176857347954878,-23.025850929940457,20.336516013754057,1.637354198024619,-2.251494380912076,-24.64524652496754,18.719951027769707,39.94469960608615
43,3.728135091892635,-22.352665209112075,20.192647581139596,1.6373509122328684,2.0820029179173227,-23.968855929822723,18.55839144631249,41.36723334121797
44,-0.24354376523003607,-23.025850929940457,18.19155245989056,1.6391752467929674,-1.892523432137001,-24.651169614396196,16.56549236247515,41.77596237470257
45,3.8527534760730333,-23.025850929940457,16.384149044528456,1.6401435177462642,2.219892902705949,-24.64645670546726,14.758089127490546,41.76784893705201
46,0.02186282580083903,-21.272274345220488,20.070214222674835,1.6419948429444624,-1.6186215665392119,-22.900846544511587,18.425053902263002,42.868077965121486
47,3.063920188928746,-23.025850929940457,15.157018708392027,1.6418396578789118,1.4267462897454406,-24.661924786032852,13.504261567261185,42.68539068089741
48,0.22193902914298724,-19.097790160638553,25.82574834953612,1.642689260525219,-1.433213033530007,-20.754652139098248,24.173785151330325,43.38732837014065
49,3.658291341990947,-23.025850929940457,17.409694090052017,1.643697388570372,2.0215560430085286,-24.644597876190815,15.766381687684685,41.95710768373107
50,0.3291404705628487,-22.33242870417239,12.88506753430438,1.6442713464601373,-1.3087895055478749,-23.963933336144287,11.235391771134672,38.38813341347111
51,5.264336301866024,-15.124384558390584,18.947897710336672,1.6450961546148835,3.6254219485397883,-16.775245277644615,17.309437415095832,37.82843648160074
52,-2.1939410357677724,-23.025850929940457,15.988422750911235,1.6458168366611319,-3.8300697422224896,-24.66173340501472,14.338445692773227,40.180149028783056
53,2.9840465961236013,-20.51342038015728,20.615172752869032,1.647183853527713,1.3407756890361666,-22.16313535516147,18.962217391056136,40.92179633079605
54,-0.7962067416258991,-23.025850929940457,19.99622363608116,1.647836093014646,-2.4448244143740308,-24.652228995740398,18.352140001802542,41.71000227334152
55,2.5377708887010293,-23.025850929940457,22.225645456136334,1.647970958762397,0.9015279070706909,-24.64255967609528,20.582659147548256,42.1382122302125
56,2.5965315388683727,-23.025850929940457,17.19233907101428,1.6482754741158412,0.9605460084974153,-24.662561736057214,15.55336546870331,41.90966297535342
57,0.14799541912972103,-22.638447334985806,23.5524957239914,1.6495656566938877,-1.5143537532770226,-24.276079401157475,21.88867560706328,43.07074912950217
58,5.257211083623449,-23.025850929940457,18.37231136960221,1.6476733988397163,3.5987528517407346,-24.664948416516236,16.73935857187353,45.05382892222311
59,-2.1062429908430857,-23.025850929940457,17.569811710264027,1.6487363742016217,-3.7633840394907057,-24.647377688749657,15.932408295644178,43.59291767670985
60,3.793189256935231,-22.59353687375001,23.67070532639955,1.6483834378158284,2.140191722060088,-24.223406741248063,21.992997473427977,42.46389059356692
61,0.5231887448601342,-23.025850929940457,13.35180586104261,1.6499171710790645,-1.1303707704172412,-24.66392089138664,11.674860944215107,41.69150517343547
62,1.7986240435061127,-15.919340288886836,18.552472661279573,1.6520864134521327,0.140609936027835,-17.583049319610254,16.895539897295443,39.59561704783803
63,2.6985078095395467,-22.151192448763716,14.714652818217683,1.6525690678975655,1.065956979072629,-23.791791840786683,13.071544118390937,38.748344375918016
64,1.929585700583804,-18.32482467223976,21.02129077515886,1.653321079020491,0.27667441183296326,-19.968843744012876,19.34900561993674,38.76283944128096
65,2.24335558108854,-23.025850929940457,20.65619893262117,1.6534980376041244,0.5869815304329952,-24.65911358377247,19.002150331448053,40.48993808280333
66,3.2389454768978734,-23.025850929940457,19.819113612896842,1.6530157477384768,1.5815081039662235,-24.66262438692662,18.142264140707425,41.500817574838074
67,0.7470741005867723,-23.025850929940457,18.605204117665473,1.6539350432244966,-0.899261862855444,-24.662886467392063,16.971317334495275,41.317763644870354
68,5.537932997143269,-23.025850929940457,18.300238692072384,1.6537641171535629,3.907221973829512,-24.657979732602836,16.635782583395205,41.666929526147285
69,-2.6359219762452732,-23.025850929940457,21.881901078677792,1.65395585584474,-4.266521413975924,-24.671160802919378,20.246139236508704,43.03948559729278
70,5.624754190176019,-23.025850929940457,25.644398411544834,1.6554613631743686,3.963141194710688,-24.650293228253688,23.99291575482878,44.87761164660346
71,-2.719374306042496,-23.025850929940457,16.61330094886228,1.6558379461436348,-4.381733699544248,-24.675221626417706,14.96081580581442,43.19270917563461
72,3.5139431439673086,-21.59601701862432,17.854606927426794,1.6561300091957707,1.8479367232707442,-23.25047335577752,16.226616953782976,39.13046914353451
73,-0.20354700672251586,-22.65706381945947,14.824153387212426,1.6578082939004448,-1.8733308072838606,-24.283234665760606,13.195610371612785,39.19564011759776
74,7.134188822715023,-18.550280502413884,24.632290636159386,1.6583714516141796,5.464854997911864,-20.18011587353212,22.97682214955033,41.616805578694965
75,-5.155390534059475,-23.025850929940457,9.873152349810027,1.660255668391002,-6.824928028673667,-24.67485195535466,8.199301976302397,41.28244532680272
76,4.615634069667394,-9.831503462433886,25.685797997805903,1.6626275132573407,2.965766559268121,-11.517334314260752,24.024398216107627,41.07942981982112
77,-1.148139441752361,-23.025850929940457,10.942250412826013,1.6618602408760086,-2.819977947152476,-24.67917875158354,9.272316775400444,39.34030090471997
78,5.520274606726001,-11.738974843175647,23.46256998899854,1.6620456276585411,3.86121242460356,-13.410602096062238,21.786355385235865,37.90865018012685
79,-2.4384406140064403,-23.025850929940457,16.965075267094296,1.663486682685607,-4.099539888457382,-24.676679286212586,15.307746702875352,40.36048389203165
80,6.4150657852930095,-21.846830218589705,19.74233684384991,1.6634863164498228,4.759555321685273,-23.469051862745733,18.091397371418307,39.866110299994695
81,-4.014980034684525,-23.025850929940457,11.118952185100154,1.66437606528561,-5.670125435606215,-24.67726485519375,9.466885210044161,38.973213712247095
82,11.195894020482143,-12.05962372227258,22.343917418276135,1.666343951420737,9.540484612496137,-13.711675925188473,20.6805322174206,40.59705909675386
83,-12.236370057209847,-23.025850929940457,14.897014330061364,1.6663093507752962,-13.893781315296847,-24.68481512273275,13.249286391309333,40.31800699966959
84,7.199578266024744,-18.641483300569373,32.4122074147286,1.6665583139521472,5.550506962666009,-20.290310809560324,30.773956387374984,43.00208221149398
85,-5.294460101193831,-23.025850929940457,27.12205096648621,1.666294608256808,-6.94565623497592,-24.683931048060252,25.451286128899287,47.38893368537327
86,5.779203627499253,-23.025850929940457,14.759833068455915,1.667822119560927,4.123101821175718,-24.65261645194065,13.113157420375696,43.43309803913271
87,-2.7901859358313152,-18.373539282991352,10.273909024675365,1.6673206750569476,-4.448141402286922,-20.02408654915117,8.611556918331736,37.878662574037264
88,7.403489859588222,-10.645407548910653,24.326388829320635,1.6664388009596525,5.7247369019929035,-12.307632114813117,22.665172960719115,38.52190865001823
89,-5.568067594927277,-23.025850929940457,11.929555075207919,1.6690899724369515,-7.249770663808043,-24.67775422298597,10.251096135188213,40.785752648066826
90,11.608327675973506,-13.391045691712264,25.92162768791114,1.6701882440570657,9.951243228384406,-15.070250024529402,24.256548553980448,41.14839701366133
91,-12.951316585186525,-23.025850929940457,10.861650633873856,1.6721645882322822,-14.608488105073235,-24.683258087479988,9.182286034682365,40.06720689983583
92,11.269503665799405,-11.57998394025773,24.968019404542833,1.673094709065218,9.584749566768417,-13.259815972915208,23.302692151765562,40.07612089889086
93,-12.248797841144224,-23.025850929940457,12.679381128300195,1.671733227169065,-13.93425843918089,-24.691483169600488,11.020438101735325,41.139335346008195
94,10.096333352374353,-14.762508885578063,25.074355165158828,1.672151686548014,8.436745410713042,-16.422282823582663,23.41720129381753,41.576366726692925
95,-10.316310290026687,-23.025850929940457,13.487046024336271,1.672004613693839,-11.974523786695263,-24.68740634271935,11.802783899339541,43.24942992908102
96,7.639073764883719,-16.106729508702834,23.132490250477897,1.6695836220647353,5.950451913487753,-17.790621809173484,21.482640307548532,42.53991517704483
97,-5.961194393351784,-23.025850929940457,14.888644058594886,1.6696894473664963,-7.651204840905256,-24.673679388326324,13.226526962243993,40.65951392236371
98,7.706460292444348,-18.54648114445813,19.1574669160453,1.6725952263703854,6.020307755880352,-20.212378985320967,17.47382664487595,38.70301936018577
99,-6.0368270428294,-23.025850929940457,17.984211100641133,1.6729557689238401,-7.724737739612622,-24.667438507543032,16.304908708878994,42.047146653971836
100,5.072847351973041,-20.9765360858569,24.68487877536864,1.67277838987806,3.3949469122134763,-22.620737411437908,23.00022691086763,44.31403022181595
101,-1.6762535551831053,-23.025850929940457,11.235755286520877,1.6728316433794195,-3.3552104653780392,-24.689392708380925,9.561669705372937,41.51058820015849
102,4.716386966806354,-12.214216349936695,18.92612317829061,1.6747935758036998,3.026422385658588,-13.889190331882329,17.251113006281454,38.954726893841965
103,-0.9166399131629146,-23.025850929940457,12.76942506480181,1.6744547138791748,-2.6066177493354132,-24.671080678168366,11.077319037762509,39.65897802158419
104,5.519433572398649,-14.83606454537135,15.55091972470557,1.6753311193682112,3.8668273652957206,-16.529751223588825,13.89089513609783,37.71389976166174
105,-2.431362371804057,-19.72176640178421,14.492062785684915,1.6770859623761307,-4.084192867639067,-21.38214071279323,12.814077797108087,37.479568502437665
106,3.771001231024382,-17.865745774304376,22.858988249946016,1.6784448477495308,2.0946743252266673,-19.543749291320275,21.195099097975483,40.08666854299558
107,0.19375418735731315,-23.025850929940457,14.70038061553949,1.6802319382642792,-1.4784233236622335,-24.691609917897356,13.023241055720261,41.55516027813011
108,4.810253562635929,-18.200304191555546,18.756376630778398,1.6801010747612959,3.122152993137838,-19.878582305727907,17.08432927674277,40.35008989501984
109,-1.1523059654176282,-23.025850929940457,9.872520565563585,1.680691490191557,-2.838991544677291,-24.663739189507524,8.204862145735081,39.302914020942666
110,3.7956501617620093,-9.901504390894456,17.80597830738668,1.679109922476822,2.1326558121748866,-11.57354480775086,16.14741403638134,37.559165256084775
111,0.3658701375174056,-22.608494345282985,12.15019578484294,1.6811658300707606,-1.2969162005284627,-24.26603093977981,10.486235318060915,36.865093357420726
112,4.153895916098637,-13.863353133653344,22.93831955763686,1.6812403765083392,2.4613358273054637,-15.529505630639324,21.249332145155684,37.83109090450018
113,-0.19534831363899222,-23.025850929940457,18.678589284676494,1.68071602764592,-1.8859480730213665,-24.690830611414896,16.966218723162992,41.15680296610543
114,3.3097023877121714,-21.284530418663163,19.03744534087462,1.6803497425864693,1.642078749171102,-22.94623857121837,17.35708085574871,40.65207400394957
115,0.3474812314787412,-23.025850929940457,16.861968666146122,1.6823295685547284,-1.3287077129501919,-24.696987562065537,15.18910064020475,38.88352400354389
116,3.5929138643852516,-21.919631906553164,18.60703090052715,1.6861975007711618,1.9061436766886795,-23.582406850507795,16.91211852424768,40.17598654815787
117,0.5523755558973591,-23.025850929940457,24.62369378043177,1.6860263154058561,-1.126452847836097,-24.696996881889984,22.93012722852565,43.73768608063693
118,2.16536384583582,-23.025850929940457,26.85328850249057,1.6834909647471585,0.47144545334853416,-24.69764727614634,25.1485627074168,45.11152568939664
119,2.1674403022007307,-23.025850929940457,15.571633336567967,1.6845798680408135,0.4667880834076835,-24.694890036195645,13.846999035762057,42.84535137579373
120,1.2722543272557338,-19.590801002264133,19.869564474566076,1.686947291200358,-0.42538108429747845,-21.31714467367901,18.17000491922082,39.016046114004915
121,3.465488083841599,-23.025850929940457,20.417837015594934,1.686946115623768,1.7900907149769885,-24.674134144525482,18.759779880514312,40.16822871274505
122,0.8285690424898642,-21.17812877032969,19.36713910005809,1.688062565316051,-0.8654733246917777,-22.835139188514415,17.682204423459403,41.46364145839686
123,3.0984498564310803,-23.025850929940457,12.959607638275434,1.6892914108816723,1.4093921413573711,-24.673909308434197,11.26681315391428,37.63926216424241
124,0.9550821909842125,-15.135090568814459,16.18059167972637,1.691037327263822,-0.7159660434258575,-16.82618318302834,14.524261522578737,36.70053671226766
125,3.605901681498241,-20.83146068630166,21.595417430780422,1.6936867541657052,1.9201157097294428,-22.489567223751884,19.916496824115296,40.95644995216118
126,-0.9962283865546961,-23.025850929940457,18.149969068958693,1.6924151056517895,-2.6594332756895604,-24.698954580538665,16.444029612533743,43.36956560402021
127,6.586191125882721,-23.025850929940457,17.795558747260756,1.6927866031944383,4.89157268381001,-24.681615120546937,16.113404101182056,43.64884391302245
128,-4.182843887538965,-22.72873085133719,17.47761056762942,1.6930009781648643,-5.877900595273903,-24.381312344569743,15.798899308079426,42.568908477500706
129,3.8011650716417975,-22.40638305567834,13.77516779987209,1.6958234963959602,2.098547896303072,-24.06871526939431,12.068317877880165,40.89354999468951
130,0.5299608797554135,-16.52260066588672,15.440713846656907,1.695796866645799,-1.171854324200832,-18.23288226572153,13.760888950603396,39.54660903837271
131,4.559183447205606,-19.488639265777447,22.442415625657993,1.695895739926814,2.8605623926805284,-21.16783824264484,20.75618757924691,38.74448896900575
132,-0.804229356443471,-23.025850929940457,18.125671896480764,1.6974986169310893,-2.5022190725656315,-24.702392149904693,16.45782488735195,40.688746505305296
133,5.781509016115469,-22.50368803031034,22.154383575419764,1.6967518613762436,4.093164434596538,-24.16646903400089,20.471733490416497,41.82274847587124
134,-2.8535726058301445,-23.025850929940457,15.00269827179119,1.6977878686056698,-4.542194999182042,-24.714927255484646,13.294016397706871,41.77428318514343
135,6.447985892667372,-18.67918144500345,22.600816311772192,1.699488138274355,4.79419871679335,-20.386015189709966,20.91241099776755,42.08266913011097
136,-4.105115149819458,-23.025850929940457,15.96703241938912,1.6978182149784478,-5.756927656120768,-24.715161097541337,14.285616173876518,42.94674727352802
137,5.3158739300514455,-20.400682704852077,21.73502882786358,1.7000945847666673,3.6096704323363498,-22.084955353977158,20.02592256275102,42.333771470945514
138,-1.9198837272425622,-23.025850929940457,10.16045665478604,1.7019041709904568,-3.6059451258935447,-24.71055764730095,8.461005654122587,39.909427213112956
139,7.809343435141141,-10.289617793066757,18.438085047958975,1.7018422015178718,6.094089341924024,-11.991590248532045,16.748682669728748,38.365895285645855
140,-6.175201813132408,-23.025850929940457,10.044941427924321,1.7034693658915634,-7.891954004540338,-24.67988349298125,8.331025241200848,37.95787758934613
141,5.860648099937659,-10.181072442296594,19.758883941132552,1.7032339647023487,4.133959212107246,-11.895313377429622,18.08668487197486,38.108690657005155
142,-2.8180382385166043,-23.025850929940457,12.473008437620418,1.7040918227457955,-4.544661119501294,-24.71032806005435,10.795186296795151,40.62464938784602
143,7.085278956702304,-14.375403693447005,29.779190946457575,1.7061193978455884,5.38315071001805,-16.054622703643258,28.067822754465144,42.86065294293216
144,-4.999159032744773,-23.025850929940457,12.273673692701188,1.7067558028116077,-6.70260599598561,-24.710725556722664,10.579411013599918,40.79908275816322
145,5.109847101467281,-13.961276924657465,16.398769768326183,1.7059311565293416,3.420029543173293,-15.657127290881627,14.673494476445704,35.83281944235966
146,-1.5967409405826416,-21.03080033217182,15.704595951766779,1.7074078257922791,-3.2862197758147995,-22.758021605084863,14.003482289525005,37.81282014161888
147,9.01782089865642,-19.921979594875005,25.875701371802236,1.706475241109577,7.3270180658429735,-21.624385756896633,24.163556006658688,42.22125638067602
148,-8.358721648775635,-23.025850929940457,15.332040469294942,1.7079318501409388,-10.051629906724443,-24.715640579919665,13.623963569770853,42.75575752294626
149,5.603587118240636,-19.247288502684068,21.36555859531463,1.7078565562885317,3.8824646712164324,-20.95400264425945,19.688757544760207,41.563066116909866
150,-2.339048324484857,-23.025850929940457,13.944798093896447,1.7095387321928452,-4.06344690269724,-24.71707151895068,12.284680719329804,41.37632957414478
151,2.35307730713544,-16.976796257732065,17.727532625414014,1.7112793899119403,0.6403822821416557,-18.635824086903384,16.028081563441635,40.83512000235156
152,2.974479609690283,-22.86599833940097,15.028487760200067,1.7119231021200088,1.2606949646976209,-24.539454262001534,13.336127256663188,40.57198013360721
153,0.7294454280733256,-18.760717338045147,19.33820169300835,1.712801837201809,-0.9809141492259635,-20.45290187873086,17.621933399181934,39.46674618868038
154,3.915308691637956,-22.263635738624977,17.122548266992396,1.7123909498732117,2.1957435007904618,-23.94426977381931,15.404146121363272,41.35543157963968
155,0.0949210312341564,-22.306759284257303,23.155158784893956,1.7127022371835834,-1.6098627254525848,-24.004716661489454,21.485700776671678,42.26392667658176
156,4.478719787135624,-23.025850929940457,16.230986266869703,1.7151383067134516,2.774575897400612,-24.718617725046748,14.513460245029087,41.023357576051474
157,-0.6003008584517691,-20.75767282849274,11.458922861910771,1.7150671228565706,-2.30510923453231,-22.47512204415449,9.733172978800361,38.86307459158533
158,6.273660857661483,-12.465807208205002,21.699120876813865,1.7159499470723114,4.559645597727123,-14.192086347311669,19.99005912900299,40.15759514654913
159,-3.6961200129313165,-23.025850929940457,18.180609625456356,1.7154858634172103,-5.409379219158591,-24.719298120410773,16.451839746882893,41.977726622649996
160,4.34865275410613,-23.025850929940457,15.11250092177158,1.717264939459516,2.624265711707463,-24.70035235364891,13.389499780245021,41.49376798526428
161,-0.1751888753283981,-18.802565395471902,29.507686274891714,1.7165361519764097,-1.8996502471452081,-20.52860118326304,27.780262585057557,44.280404788884866
162,5.268637634217576,-23.025850929940457,15.140737335537569,1.7171698361550571,3.573259254306652,-24.731565376020928,13.412343400587499,43.59693268525915
163,-2.3080004668367486,-18.869502585047343,11.306607024602956,1.7157882690938684,-3.9750211378174587,-20.598135298766962,9.563279756682261,39.344580486864054
164,6.056899664669201,-12.159282647373201,20.903539849398328,1.7165473866424632,4.340091848452422,-13.904449192257792,19.175362463556958,38.819234934106426
165,-3.16152038788735,-23.025850929940457,15.388354778054397,1.7187204735824086,-4.878686093569421,-24.72267680031987,13.669919347756927,40.72708223332226
166,8.817026477116253,-19.27424052354011,22.335316400785132,1.7199428120492035,7.098931468222128,-20.993406156866197,20.66786463350195,41.46641778901402
